threshold,boost,MAE,RMSE,R2,high_rate_MAE,triggered
0.7,0.05,134.71480370432317,641.3407831009231,0.8233804235465443,8907.636281738283,0
0.7,0.1,134.71480370432317,641.3407831009231,0.8233804235465443,8907.636281738283,0
0.7,0.15,134.71480370432317,641.3407831009231,0.8233804235465443,8907.636281738283,0
0.7,0.2,134.71480370432317,641.3407831009231,0.8233804235465443,8907.636281738283,0
0.7,0.25,134.71480370432317,641.3407831009231,0.8233804235465443,8907.636281738283,0
0.7,0.3,134.71480370432317,641.3407831009231,0.8233804235465443,8907.636281738283,0
0.8,0.05,134.71480370432317,641.3407831009231,0.8233804235465443,8907.636281738283,0
0.8,0.1,134.71480370432317,641.3407831009231,0.8233804235465443,8907.636281738283,0
0.9,0.2,134.71480370432317,641.3407831009231,0.8233804235465443,8907.636281738283,0
0.9,0.15,134.71480370432317,641.3407831009231,0.8233804235465443,8907.636281738283,0
0.9,0.1,134.71480370432317,641.3407831009231,0.8233804235465443,8907.636281738283,0
0.9,0.05,134.71480370432317,641.3407831009231,0.8233804235465443,8907.636281738283,0
0.8,0.3,134.71480370432317,641.3407831009231,0.8233804235465443,8907.636281738283,0
0.8,0.25,134.71480370432317,641.3407831009231,0.8233804235465443,8907.636281738283,0
0.8,0.2,134.71480370432317,641.3407831009231,0.8233804235465443,8907.636281738283,0
0.8,0.15,134.71480370432317,641.3407831009231,0.8233804235465443,8907.636281738283,0
0.9,0.3,134.71480370432317,641.3407831009231,0.8233804235465443,8907.636281738283,0
0.9,0.25,134.71480370432317,641.3407831009231,0.8233804235465443,8907.636281738283,0
0.6,0.05,134.7184282043002,641.3413262944656,0.8233801243650277,8907.636281738283,1
0.6,0.1,134.73861432441728,641.3479199336449,0.8233764926835172,8907.636281738283,1
0.6,0.15,134.7588003932605,641.360563798357,0.8233695285204621,8907.636281738283,1
0.6,0.2,134.77898651337756,641.3792575950175,0.8233592318404834,8907.636281738283,1
0.6,0.25,134.79917258222076,641.4040006996867,0.8233456026958895,8907.636281738283,1
0.6,0.3,134.81935865106396,641.4347924521106,0.8233286410647587,8907.636281738283,1
0.5,0.05,136.83750421599555,639.5433057359232,0.824369054911285,8856.620595703127,884
0.4,0.05,144.58448249545305,636.3392430690635,0.8261244416877811,8753.116770833334,3911
0.3,0.05,147.49276087052604,636.6738878475448,0.8259415145833924,8740.244269883899,4819
0.5,0.1,151.42801981905035,642.9873038284785,0.8224723849558262,8805.604828287762,884
0.5,0.15,167.71402040439307,651.5896471149518,0.8176904268885136,8754.589142252606,884
0.5,0.2,184.465510462591,665.1502733479118,0.8100231548617306,8703.573347710504,884
0.5,0.25,201.32893636033526,683.3740100878671,0.7994706070676443,8652.557661675348,884
0.4,0.1,205.15571941958575,652.9980148569065,0.8169014751099355,8598.59696153429,3911
0.5,0.3,218.2066708994117,705.8998222473618,0.7860327679469102,8601.541995985244,884
0.3,0.1,218.8649224541386,656.4543893133198,0.814958032914584,8572.851932508682,4819
0.4,0.15,274.21576965312806,689.7493823150469,0.7957115732267832,8444.077457411026,3911
0.3,0.15,299.8364258779013,698.6086472267407,0.7904300366953453,8405.45992404514,4819
0.4,0.2,345.0904251587337,743.6203900148013,0.7625546316147891,8289.557600640192,3911
0.3,0.2,382.85570173265756,759.4201410117494,0.7523574053016147,8238.067535807293,4819
0.4,0.25,416.5376004360639,811.207286459201,0.717430808261855,8135.038110080296,3911
0.3,0.25,466.53065150885726,834.8213389856915,0.7007403203717191,8070.675547688803,4819
0.4,0.3,488.2101448259211,889.3887156912658,0.6603400405964757,7980.518612738717,3911
0.3,0.3,550.4557830786832,921.2368672854064,0.6355787083447935,7903.28355278863,4819
