distance_bucket,count,MAE,RMSE
"(-inf, 100.0]",60,23.788706200877808,40.24203033390841
"(100.0, 250.0]",490,37.77461957805972,120.74084627999596
"(250.0, 500.0]",1540,71.67448697433613,283.2977025230314
"(500.0, 750.0]",1500,92.28255179077141,302.21748698810785
"(750.0, 1000.0]",1472,111.15418228789926,454.2013340837755
"(1000.0, 1500.0]",1760,204.28694389235227,737.0007671302354
"(1500.0, 2500.0]",2141,264.54728194203915,1038.7165345162289
"(2500.0, inf]",560,269.33372148519436,908.3070212532773
